date,funding
2020-11-06,0.0015159499999999998
2020-11-07,0.00199526
2020-11-08,0.00030554
2020-11-09,0.00075883
2020-11-10,0.00128503
2020-11-11,0.00139503
2020-11-12,0.0009032300000000001
2020-11-13,0.00080993
2020-11-14,0.00079017
2020-11-15,0.0
2020-11-16,0.00047924
2020-11-17,0.00134655
2020-11-18,0.0017584900000000001
2020-11-19,0.00084907
2020-11-20,0.00073079
2020-11-21,0.00295877
2020-11-22,0.00214335
2020-11-23,0.00471058
2020-11-24,0.0038266999999999997
2020-11-25,0.00289337
2020-11-26,0.00023057
2020-11-27,0.00017518
2020-11-28,0.00029054000000000005
2020-11-29,0.00025588
2020-11-30,0.00072924
2020-12-01,0.00163084
2020-12-02,0.00129607
2020-12-03,0.00195775
2020-12-04,0.00106613
2020-12-05,0.0008326799999999999
2020-12-06,0.0
2020-12-07,7.966e-05
2020-12-08,1.597e-05
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,0.0
2020-12-12,0.00021507
2020-12-13,0.00075115
2020-12-14,0.00084764
2020-12-15,0.0
2020-12-16,0.00031585
2020-12-17,0.0030199
2020-12-18,0.00172769
2020-12-19,0.00304281
2020-12-20,0.00418418
2020-12-21,0.0017224599999999999
2020-12-22,0.00023339
2020-12-23,0.00034247
2020-12-24,0.0
2020-12-25,0.00010832
2020-12-26,0.00011354
2020-12-27,0.0011148299999999998
2020-12-28,0.0018327399999999998
2020-12-29,0.00248599
2020-12-30,0.00188546
2020-12-31,0.0017400900000000001
2021-01-01,0.00203346
2021-01-02,0.0011246399999999999
2021-01-03,0.0038941
2021-01-04,0.0074277
2021-01-05,0.00217496
2021-01-06,0.0066389
2021-01-07,0.0047953200000000005
2021-01-08,0.00222723
2021-01-09,0.0006513599999999999
2021-01-10,0.0023361799999999998
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.00059377
2021-01-14,0.00204617
2021-01-15,0.00203453
2021-01-16,0.00211445
2021-01-17,0.00274487
2021-01-18,0.00337294
2021-01-19,0.00472355
2021-01-20,0.0
2021-01-21,0.00044775
2021-01-22,0.00030046
2021-01-23,-0.00015448
2021-01-24,0.0011163800000000001
2021-01-25,0.00175399
2021-01-26,0.00101864
2021-01-27,0.00049687
2021-01-28,0.00031545
2021-01-29,0.0007952500000000001
2021-01-30,-0.00038647
2021-01-31,-0.00031549999999999997
2021-02-01,-0.00210508
2021-02-02,-0.00111428
2021-02-03,-0.0013815799999999999
2021-02-04,-0.00047691
2021-02-05,0.0003885
2021-02-06,0.00014089000000000007
2021-02-07,-0.00106803
2021-02-08,0.0010827699999999998
2021-02-09,0.00547918
2021-02-10,0.00865584
2021-02-11,0.0057455399999999995
2021-02-12,0.0073094200000000005
2021-02-13,0.00466162
2021-02-14,0.006976359999999999
2021-02-15,0.00210067
2021-02-16,0.00174772
2021-02-17,0.00271289
2021-02-18,0.00502371
2021-02-19,0.006898929999999999
2021-02-20,0.00964435
2021-02-21,0.0031382
2021-02-22,0.00197554
2021-02-23,-0.00015019000000000002
2021-02-24,-0.00104003
2021-02-25,0.00042186999999999997
2021-02-26,-0.00059456
2021-02-27,9.595e-05
2021-02-28,0.0001051
2021-03-01,3.391e-05
2021-03-02,0.00034725
2021-03-03,0.0004679
2021-03-04,0.00051492
2021-03-05,0.0
2021-03-06,0.0
2021-03-07,0.00097354
2021-03-08,0.00170557
2021-03-09,0.00324608
2021-03-10,0.00213922
2021-03-11,0.00275579
2021-03-12,0.0034163400000000003
2021-03-13,0.0024157600000000003
2021-03-14,0.0033534999999999997
2021-03-15,0.00249921
2021-03-16,0.00107925
2021-03-17,0.00230137
2021-03-18,0.00203464
2021-03-19,0.00173761
2021-03-20,0.00317659
2021-03-21,0.00178047
2021-03-22,0.00221524
2021-03-23,0.00025164999999999996
2021-03-24,0.00041160000000000003
